| Problem Name                                              | Problem Number | Approach                                                |
| --------------------------------------------------------- | -------------: | ------------------------------------------------------- |
| Contains Duplicate                                        |            217 | HashSet: duplicate element detect karo                  |
| Valid Anagram                                             |            242 | Character frequency counting                            |
| Two Sum                                                   |              1 | HashMap: `target - nums[i]` lookup                      |
| Group Anagrams                                            |             49 | Sorted string / frequency signature + HashMap           |
| Top K Frequent Elements                                   |            347 | Frequency map + Bucket Sort / Heap                      |
| Encode and Decode Strings                                 |            271 | Length-prefix encoding                                  |
| Product of Array Except Self                              |            238 | Prefix product + suffix product                         |
| Valid Sudoku                                              |             36 | HashSet for rows, columns, and 3×3 boxes                |
| Longest Consecutive Sequence                              |            128 | HashSet; sequence only `x-1` absent hone par start karo |
| Valid Parentheses                                         |             20 | Stack + matching brackets                               |
| Min Stack                                                 |            155 | Stack + minimum value tracking                          |
| Evaluate Reverse Polish Notation                          |            150 | Stack; operands push, operator par calculate            |
| Generate Parentheses                                      |             22 | Backtracking with open/close counts                     |
| Daily Temperatures                                        |            739 | Monotonic decreasing stack                              |
| Car Fleet                                                 |            853 | Sort by position + arrival time tracking                |
| Largest Rectangle in Histogram                            |             84 | Monotonic increasing stack                              |
| Valid Palindrome                                          |            125 | Two pointers + alphanumeric check                       |
| Two Sum II - Input Array Is Sorted                        |            167 | Two pointers                                            |
| 3Sum                                                      |             15 | Sort + fixed element + two pointers                     |
| Container With Most Water                                 |             11 | Two pointers; smaller height pointer move karo          |
| Trapping Rain Water                                       |             42 | Two pointers + leftMax/rightMax                         |
| Best Time to Buy and Sell Stock                           |            121 | Track minimum price + maximum profit                    |
| Longest Substring Without Repeating Characters            |              3 | Sliding window + HashSet/HashMap                        |
| Longest Repeating Character Replacement                   |            424 | Sliding window + max frequency                          |
| Permutation in String                                     |            567 | Fixed-size sliding window + frequency                   |
| Minimum Window Substring                                  |             76 | Variable sliding window + frequency map                 |
| Sliding Window Maximum                                    |            239 | Monotonic deque                                         |
| Binary Search                                             |            704 | Standard binary search                                  |
| Search a 2D Matrix                                        |             74 | Binary search on flattened matrix                       |
| Koko Eating Bananas                                       |            875 | Binary search on answer                                 |
| Find Minimum in Rotated Sorted Array                      |            153 | Binary search on sorted/unsorted half                   |
| Search in Rotated Sorted Array                            |             33 | Binary search + identify sorted half                    |
| Time Based Key-Value Store                                |            981 | HashMap + binary search on timestamps                   |
| Median of Two Sorted Arrays                               |              4 | Binary search on partition                              |
| Reverse Linked List                                       |            206 | Iterative pointer reversal                              |
| Merge Two Sorted Lists                                    |             21 | Two pointers + dummy node                               |
| Linked List Cycle                                         |            141 | Floyd's slow/fast pointers                              |
| Reorder List                                              |            143 | Find middle + reverse second half + merge               |
| Remove Nth Node From End of List                          |             19 | Two pointers with `n` gap                               |
| Copy List with Random Pointer                             |            138 | HashMap: original → copied node                         |
| Add Two Numbers                                           |              2 | Digit-by-digit addition + carry                         |
| Find the Duplicate Number                                 |            287 | Floyd's cycle detection                                 |
| LRU Cache                                                 |            146 | HashMap + Doubly Linked List                            |
| Merge k Sorted Lists                                      |             23 | Min-heap / priority queue                               |
| Reverse Nodes in k-Group                                  |             25 | Linked-list reversal in groups of `k`                   |
| Invert Binary Tree                                        |            226 | DFS recursion + swap children                           |
| Maximum Depth of Binary Tree                              |            104 | DFS; `1 + max(left,right)`                              |
| Diameter of Binary Tree                                   |            543 | DFS height + global diameter                            |
| Balanced Binary Tree                                      |            110 | DFS height + balance check                              |
| Same Tree                                                 |            100 | Recursive node-by-node comparison                       |
| Subtree of Another Tree                                   |            572 | DFS + Same Tree check                                   |
| Lowest Common Ancestor of a Binary Search Tree            |            235 | BST property                                            |
| Binary Tree Level Order Traversal                         |            102 | BFS using queue                                         |
| Binary Tree Right Side View                               |            199 | BFS; take last node of each level                       |
| Count Good Nodes in Binary Tree                           |           1448 | DFS + maximum value on current path                     |
| Validate Binary Search Tree                               |             98 | DFS with valid min/max range                            |
| Kth Smallest Element in a BST                             |            230 | Inorder traversal                                       |
| Construct Binary Tree from Preorder and Inorder Traversal |            105 | Preorder root + inorder partition                       |
| Binary Tree Maximum Path Sum                              |            124 | DFS + maximum downward path                             |
